delivery_time_days,review_score,total_order_value
3.0,5.0,48.83
8.0,5.0,75.1
4.0,4.0,76.67
17.0,5.0,198.12
10.0,5.0,132.04999999999998
10.0,4.0,112.46
22.0,1.0,84.42999999999999
12.0,5.0,210.64
7.0,4.0,124.76
14.0,5.0,69.73
12.0,5.0,31.22
4.0,5.0,22.18
13.0,5.0,76.85000000000001
22.0,4.0,32.69
19.0,5.0,100.57
2.0,5.0,88.31
9.0,5.0,55.56
20.0,5.0,363.96
23.0,5.0,84.91000000000001
22.0,4.0,207.02
10.0,5.0,419.12
4.0,4.0,42.27
11.0,5.0,94.74
13.0,2.0,79.63
24.0,3.0,194.06
20.0,5.0,39.75
14.0,5.0,50.86
12.0,5.0,108.2
28.0,5.0,102.74
9.0,5.0,72.05
1.0,4.0,24.38
5.0,5.0,56.78
14.0,3.0,131.33
8.0,5.0,238.41
8.0,5.0,238.41
8.0,5.0,238.41
6.0,3.0,148.69
26.0,5.0,116.34
11.0,5.0,102.03
11.0,5.0,102.03
31.0,5.0,96.8
11.0,4.0,130.69
13.0,5.0,322.17
1.0,4.0,275.19
10.0,4.0,78.22
6.0,5.0,40.86
7.0,4.0,206.87
9.0,1.0,347.69
9.0,1.0,151.56
9.0,1.0,151.56
9.0,1.0,347.69
15.0,4.0,128.71
15.0,4.0,128.71
4.0,5.0,61.75
23.0,5.0,77.03
2.0,5.0,96.88
17.0,3.0,57.46
8.0,5.0,73.34
7.0,5.0,39.75
8.0,4.0,159.07
20.0,3.0,159.04000000000002
12.0,4.0,34.0
5.0,5.0,49.239999999999995
5.0,5.0,49.239999999999995
6.0,4.0,63.86
7.0,5.0,177.36
2.0,5.0,143.94
16.0,5.0,174.42000000000002
27.0,1.0,180.45
10.0,5.0,165.57
30.0,5.0,101.34
2.0,5.0,69.32
2.0,5.0,139.56
13.0,5.0,54.36
8.0,5.0,436.7
24.0,4.0,192.95
14.0,5.0,1255.43
18.0,5.0,72.64
7.0,4.0,51.79
12.0,5.0,90.88
12.0,5.0,90.88
12.0,5.0,90.88
12.0,5.0,90.88
11.0,1.0,153.82
11.0,1.0,153.82
17.0,5.0,85.24
13.0,5.0,41.69
8.0,5.0,96.02
5.0,4.0,26.29
3.0,3.0,1119.6
19.0,5.0,83.10000000000001
8.0,4.0,44.0
11.0,5.0,44.41
9.0,5.0,2031.09
34.0,1.0,222.68
6.0,5.0,87.58
9.0,5.0,264.22
10.0,5.0,368.11
2.0,4.0,96.47
6.0,5.0,221.28
14.0,5.0,172.42000000000002
11.0,5.0,127.48
11.0,5.0,156.06
16.0,5.0,44.37
6.0,5.0,161.01
11.0,5.0,139.17
11.0,5.0,117.74
28.0,5.0,125.33
8.0,5.0,201.42
6.0,5.0,30.79
23.0,4.0,190.48
2.0,5.0,33.769999999999996
13.0,5.0,55.62
13.0,5.0,55.62
9.0,4.0,44.87
8.0,4.0,191.99
8.0,4.0,191.99
9.0,5.0,83.22
6.0,5.0,97.87
6.0,5.0,97.87
7.0,3.0,36.42
7.0,3.0,36.42
7.0,3.0,36.42
9.0,1.0,104.37
14.0,4.0,205.57
11.0,5.0,137.38
1.0,5.0,104.08
9.0,5.0,222.7
18.0,5.0,94.3
18.0,5.0,94.3
9.0,4.0,79.2
11.0,1.0,95.58
10.0,5.0,128.55
14.0,3.0,148.76
7.0,4.0,69.24
7.0,4.0,69.24
7.0,5.0,72.68
5.0,5.0,32.129999999999995
25.0,3.0,150.21
15.0,5.0,112.77
8.0,5.0,180.32
10.0,1.0,171.84
14.0,3.0,43.78
23.0,4.0,100.91
14.0,5.0,205.26
14.0,5.0,82.59
8.0,5.0,52.92
0.0,5.0,188.94
11.0,5.0,77.66
11.0,5.0,195.92
6.0,5.0,100.34
5.0,4.0,73.34
17.0,5.0,249.7
17.0,5.0,249.7
12.0,3.0,301.3
10.0,1.0,72.75
10.0,1.0,72.75
9.0,5.0,55.04
18.0,1.0,107.87
18.0,1.0,107.87
9.0,4.0,306.16
31.0,1.0,2751.24
10.0,5.0,91.23
9.0,5.0,154.7
9.0,1.0,127.94
9.0,1.0,227.83
8.0,4.0,46.01
8.0,4.0,46.01
8.0,4.0,46.01
19.0,1.0,212.88
7.0,5.0,65.71000000000001
5.0,5.0,32.7
5.0,4.0,99.9
20.0,5.0,87.21000000000001
5.0,5.0,109.31
13.0,5.0,133.35
2.0,5.0,49.41
5.0,3.0,179.22
7.0,5.0,141.97
13.0,1.0,71.14
13.0,1.0,71.14
13.0,1.0,71.14
7.0,5.0,85.52
7.0,5.0,272.8
4.0,5.0,67.6
4.0,4.0,67.33
4.0,4.0,67.33
9.0,5.0,63.08
7.0,5.0,149.85
11.0,4.0,46.129999999999995
10.0,5.0,326.36
14.0,4.0,200.23
6.0,1.0,86.67
12.0,5.0,374.15
24.0,5.0,378.83
13.0,5.0,134.71
10.0,5.0,27.98
13.0,5.0,63.98
8.0,4.0,44.1
11.0,1.0,56.43
11.0,1.0,56.43
10.0,5.0,64.78999999999999
5.0,5.0,120.68
59.0,5.0,73.25
13.0,4.0,86.25
8.0,5.0,189.34
4.0,4.0,35.449999999999996
24.0,5.0,105.37
24.0,5.0,103.33
23.0,5.0,66.78
9.0,5.0,70.06
38.0,3.0,76.75999999999999
49.0,1.0,695.99
13.0,1.0,77.57
13.0,1.0,77.57
40.0,1.0,1727.67
14.0,5.0,69.45
15.0,5.0,299.75
7.0,5.0,41.86
16.0,5.0,143.9
4.0,5.0,31.75
20.0,5.0,95.24
28.0,1.0,171.32
19.0,3.0,27.25
19.0,3.0,45.42
19.0,3.0,27.25
19.0,3.0,45.42
19.0,3.0,36.34
19.0,3.0,36.34
11.0,5.0,44.42
16.0,2.0,413.53
16.0,3.0,106.97
15.0,4.0,45.78
9.0,5.0,429.64
3.0,5.0,117.96
4.0,5.0,58.95
11.0,5.0,44.09
19.0,4.0,76.34
13.0,5.0,117.97
14.0,3.0,921.04
6.0,4.0,48.989999999999995
5.0,5.0,35.36
13.0,5.0,164.06
5.0,2.0,112.42
5.0,2.0,112.42
10.0,4.0,95.4
2.0,3.0,72.07
2.0,3.0,72.07
2.0,3.0,72.07
2.0,3.0,72.07
25.0,3.0,42.42
3.0,5.0,209.2
3.0,5.0,209.2
12.0,5.0,140.61
8.0,3.0,311.81
6.0,5.0,110.98
6.0,5.0,20.04
12.0,5.0,916.02
14.0,5.0,43.95
30.0,1.0,89.02
30.0,1.0,89.02
17.0,5.0,596.27
11.0,4.0,215.15
6.0,5.0,75.08
13.0,5.0,31.75
8.0,4.0,48.71
5.0,4.0,76.17
6.0,5.0,193.82
29.0,3.0,205.07
7.0,3.0,105.28
11.0,5.0,228.43
16.0,1.0,36.52
5.0,2.0,197.87
2.0,3.0,196.95
10.0,4.0,213.56
18.0,4.0,300.76
13.0,4.0,36.35
5.0,4.0,502.12
8.0,5.0,339.09000000000003
14.0,5.0,36.69
28.0,5.0,96.07
28.0,5.0,96.07
7.0,4.0,198.16000000000005
3.0,5.0,20.29
11.0,1.0,1480.73
11.0,5.0,105.28
11.0,5.0,105.28
6.0,3.0,345.46
4.0,5.0,32.94
7.0,4.0,42.09
22.0,4.0,324.32
21.0,3.0,42.69
1.0,4.0,63.120000000000005
10.0,5.0,34.86
15.0,5.0,135.41
7.0,4.0,140.67000000000002
19.0,5.0,132.09
13.0,4.0,77.38
25.0,4.0,400.65
24.0,1.0,57.59
12.0,5.0,101.78
12.0,4.0,131.04999999999998
15.0,4.0,130.51999999999998
15.0,4.0,130.51999999999998
15.0,4.0,130.51999999999998
15.0,4.0,130.51999999999998
15.0,4.0,130.51999999999998
15.0,4.0,130.51999999999998
2.0,5.0,51.2
14.0,5.0,139.59
7.0,5.0,47.1
3.0,4.0,31.99
3.0,5.0,92.57
10.0,1.0,148.68
2.0,5.0,88.37
5.0,5.0,93.12
6.0,1.0,135.51999999999998
9.0,5.0,71.27
9.0,5.0,62.08
22.0,5.0,297.2
17.0,5.0,307.0
9.0,5.0,145.58
21.0,4.0,68.87
21.0,4.0,68.87
28.0,4.0,335.48
35.0,5.0,132.57
12.0,5.0,53.82
35.0,1.0,163.32
5.0,5.0,96.17
3.0,5.0,56.78
7.0,5.0,154.73
5.0,5.0,44.09
5.0,5.0,44.09
12.0,4.0,183.89
6.0,5.0,96.62
13.0,3.0,147.64
7.0,5.0,130.26999999999998
45.0,1.0,147.28
12.0,3.0,46.16
6.0,5.0,22.38
16.0,5.0,107.78
7.0,1.0,139.23
7.0,1.0,139.23
7.0,1.0,139.23
7.0,1.0,139.23
7.0,1.0,139.23
5.0,4.0,236.41000000000005
9.0,5.0,119.89
6.0,4.0,293.96999999999997
6.0,4.0,293.96999999999997
13.0,5.0,90.28
13.0,5.0,90.28
1.0,5.0,139.41
33.0,1.0,72.08
33.0,1.0,72.08
33.0,1.0,72.08
33.0,1.0,72.08
33.0,1.0,72.08
7.0,5.0,147.59
11.0,3.0,126.33
10.0,5.0,87.44
17.0,5.0,665.87
9.0,5.0,36.69
4.0,3.0,27.29
9.0,4.0,18.76
5.0,5.0,220.04
13.0,3.0,76.08
9.0,3.0,133.28
20.0,5.0,62.74
10.0,4.0,455.29
12.0,5.0,43.01
12.0,5.0,43.01
16.0,5.0,243.36
13.0,5.0,22.78
4.0,3.0,73.34
4.0,3.0,73.34
4.0,3.0,73.34
15.0,5.0,133.25
10.0,5.0,55.96
13.0,1.0,48.6
16.0,5.0,70.12
4.0,5.0,64.09
10.0,5.0,165.71
3.0,5.0,162.04000000000002
24.0,5.0,46.69
25.0,4.0,147.81
25.0,4.0,147.81
11.0,5.0,59.1
13.0,4.0,307.68
8.0,3.0,53.37
3.0,5.0,162.04000000000002
5.0,3.0,73.34
12.0,3.0,227.38
19.0,5.0,129.46
4.0,1.0,32.5
4.0,1.0,32.5
4.0,1.0,23.68
4.0,1.0,32.5
4.0,1.0,37.79
11.0,4.0,96.9
23.0,1.0,92.72
23.0,1.0,80.09
1.0,5.0,122.37
5.0,5.0,34.86
16.0,5.0,54.0
11.0,3.0,42.68
29.0,5.0,722.05
10.0,4.0,108.77
8.0,5.0,75.68
21.0,5.0,36.09
5.0,5.0,38.16
6.0,5.0,104.37
15.0,4.0,54.09
18.0,5.0,71.64
4.0,5.0,92.57
6.0,3.0,48.08
6.0,4.0,26.79
5.0,5.0,60.129999999999995
28.0,4.0,295.0
6.0,5.0,122.42
37.0,1.0,173.53
5.0,5.0,235.83
5.0,5.0,53.0
12.0,5.0,83.41000000000001
5.0,1.0,88.49000000000001
21.0,5.0,113.07
21.0,5.0,113.07
5.0,5.0,79.24000000000001
12.0,1.0,72.14
7.0,5.0,65.71000000000001
10.0,5.0,73.67999999999999
3.0,1.0,98.69
1.0,5.0,76.63000000000001
4.0,5.0,37.86
9.0,5.0,163.13
12.0,5.0,107.78
13.0,4.0,36.77
22.0,5.0,69.9
36.0,1.0,126.11
24.0,3.0,78.09
11.0,2.0,36.77
10.0,5.0,179.22
18.0,1.0,278.06
13.0,5.0,37.54
2.0,5.0,81.76
2.0,5.0,81.76
7.0,4.0,48.95
7.0,4.0,16.61
7.0,4.0,16.61
12.0,5.0,81.75
12.0,5.0,81.75
20.0,5.0,110.42
20.0,5.0,118.23
6.0,5.0,64.39
4.0,5.0,38.72
75.0,1.0,55.629999999999995
5.0,5.0,223.97
8.0,4.0,159.9
8.0,4.0,159.9
8.0,4.0,159.9
20.0,4.0,110.0
9.0,5.0,63.37
13.0,5.0,54.0
11.0,4.0,343.5
4.0,5.0,314.21
15.0,5.0,100.34
39.0,1.0,42.1
11.0,5.0,31.03
11.0,5.0,31.03
11.0,5.0,31.03
11.0,5.0,31.03
11.0,5.0,31.03
11.0,5.0,31.03
11.0,5.0,31.03
11.0,5.0,31.03
20.0,4.0,116.13
27.0,4.0,224.77
27.0,1.0,171.57
27.0,1.0,91.29
8.0,5.0,136.4
7.0,5.0,347.31
8.0,5.0,137.6
14.0,5.0,70.6
11.0,4.0,89.11
3.0,4.0,21.43
18.0,3.0,176.78
2.0,3.0,82.61
2.0,3.0,29.31
6.0,3.0,154.38
8.0,5.0,112.92
7.0,5.0,828.0799999999999
4.0,5.0,152.79
4.0,5.0,107.19
6.0,5.0,264.07
11.0,5.0,87.55000000000001
13.0,5.0,339.85999999999996
19.0,5.0,106.16
10.0,4.0,136.04
9.0,5.0,98.82
4.0,5.0,50.39
4.0,5.0,68.85
18.0,5.0,192.03
7.0,4.0,290.26
7.0,4.0,152.26
8.0,3.0,36.75
3.0,4.0,29.24
15.0,5.0,438.48
11.0,5.0,147.16
7.0,5.0,124.5
8.0,1.0,315.23999999999995
4.0,5.0,49.84
14.0,3.0,56.5
57.0,1.0,504.15
57.0,1.0,504.15
6.0,5.0,125.52
12.0,5.0,132.4
24.0,4.0,40.0
5.0,4.0,34.56
5.0,4.0,39.370000000000005
5.0,4.0,18.27
5.0,4.0,35.269999999999996
5.0,4.0,29.64
5.0,4.0,29.64
27.0,4.0,133.06
5.0,4.0,195.17
12.0,4.0,73.49000000000001
14.0,5.0,153.2
18.0,1.0,75.71000000000001
10.0,5.0,48.79
15.0,5.0,133.89
7.0,3.0,651.84
9.0,4.0,72.25
16.0,4.0,36.0
6.0,5.0,124.69
4.0,5.0,91.19
11.0,5.0,148.18
28.0,2.0,82.32
5.0,2.0,125.16
6.0,4.0,98.28
3.0,4.0,49.09
26.0,1.0,85.79
12.0,5.0,35.089999999999996
11.0,5.0,41.43
27.0,5.0,93.59
4.0,4.0,132.49
22.0,3.0,161.84
10.0,5.0,35.69
15.0,4.0,175.1
3.0,4.0,13.39
22.0,5.0,44.129999999999995
22.0,5.0,44.129999999999995
0.0,4.0,108.51
8.0,5.0,47.74
26.0,2.0,99.8
13.0,1.0,89.36000000000001
19.0,4.0,46.93
8.0,4.0,155.29
8.0,1.0,54.1
13.0,5.0,319.99
15.0,4.0,60.22
4.0,5.0,105.37
11.0,5.0,76.65
18.0,3.0,79.15
5.0,4.0,88.08
12.0,5.0,74.63
23.0,1.0,46.78
13.0,5.0,854.89
13.0,5.0,854.89
27.0,5.0,67.05
24.0,1.0,112.08
54.0,1.0,211.26
19.0,5.0,166.70000000000002
30.0,1.0,137.04000000000002
5.0,1.0,140.08
2.0,5.0,22.77
19.0,5.0,60.09
5.0,4.0,164.63
30.0,3.0,102.85
3.0,5.0,123.21
3.0,5.0,123.21
9.0,1.0,112.1
10.0,5.0,85.60000000000001
9.0,5.0,235.13
30.0,4.0,43.0
6.0,5.0,162.65
9.0,5.0,107.78
9.0,5.0,107.78
36.0,1.0,112.94
11.0,5.0,225.42
12.0,5.0,58.43000000000001
3.0,5.0,27.71
7.0,4.0,415.83
20.0,5.0,186.1
17.0,5.0,164.71
32.0,3.0,104.87
8.0,5.0,111.19
8.0,5.0,111.19
4.0,5.0,144.99
39.0,1.0,125.43
5.0,5.0,21.77
5.0,5.0,21.77
8.0,5.0,47.3
20.0,5.0,28.08
16.0,3.0,51.07
14.0,5.0,117.0
9.0,5.0,313.78
9.0,5.0,313.78
9.0,5.0,313.78
40.0,1.0,1692.05
6.0,5.0,98.11
12.0,5.0,30.53
12.0,4.0,84.24000000000001
17.0,5.0,95.34
22.0,1.0,189.42
22.0,1.0,189.42
22.0,1.0,189.42
22.0,1.0,189.42
22.0,1.0,189.42
22.0,1.0,189.42
22.0,1.0,189.42
22.0,1.0,189.42
10.0,5.0,124.29
15.0,5.0,44.42
7.0,5.0,66.05
24.0,4.0,177.58
13.0,5.0,139.69
11.0,3.0,91.05
17.0,1.0,94.31
4.0,3.0,177.69
4.0,3.0,177.69
16.0,4.0,43.22
5.0,5.0,56.76
14.0,5.0,133.46
14.0,5.0,413.59
6.0,4.0,123.38
6.0,4.0,378.91
7.0,5.0,139.81
10.0,5.0,223.54
8.0,5.0,148.58
7.0,1.0,115.79
7.0,3.0,25.46
4.0,3.0,57.98
7.0,3.0,41.26
7.0,4.0,50.95
7.0,1.0,50.95
7.0,4.0,50.95
7.0,1.0,50.95
21.0,5.0,35.86
8.0,5.0,49.760000000000005
1.0,5.0,258.5
13.0,1.0,123.32
13.0,1.0,123.32
14.0,5.0,206.99
24.0,3.0,27.6
33.0,2.0,29.49
33.0,2.0,29.49
13.0,5.0,71.27
10.0,5.0,247.68
6.0,5.0,158.94
7.0,5.0,157.16000000000005
13.0,3.0,695.61
9.0,5.0,22.46
8.0,4.0,105.28
9.0,5.0,54.33
5.0,3.0,123.33
23.0,5.0,157.91000000000005
6.0,5.0,59.68
2.0,4.0,147.33
4.0,5.0,41.72
7.0,5.0,102.64
6.0,5.0,81.55
33.0,4.0,102.13
24.0,4.0,149.14
40.0,2.0,123.04
6.0,5.0,110.98
4.0,4.0,129.49
4.0,4.0,220.97
33.0,1.0,173.59
13.0,4.0,130.69
2.0,5.0,169.3
21.0,3.0,81.11000000000001
23.0,5.0,315.84
4.0,5.0,68.3
10.0,5.0,24.28
6.0,4.0,78.68
12.0,4.0,317.53
7.0,5.0,154.9
31.0,5.0,38.129999999999995
7.0,4.0,127.89
7.0,5.0,48.91
7.0,5.0,24.35
7.0,5.0,24.35
15.0,5.0,50.95
8.0,4.0,117.94
18.0,4.0,61.05
1.0,5.0,109.35
17.0,5.0,43.11
6.0,5.0,137.83
4.0,5.0,1075.12
7.0,5.0,69.9
4.0,5.0,64.34
4.0,5.0,64.34
4.0,5.0,64.34
4.0,5.0,64.34
17.0,5.0,38.42
13.0,5.0,376.39
14.0,5.0,62.69
12.0,4.0,91.79
6.0,5.0,31.77
4.0,2.0,92.64
7.0,4.0,45.69
10.0,5.0,222.13
29.0,1.0,177.02
11.0,5.0,64.42
11.0,5.0,85.14
10.0,4.0,36.69
2.0,1.0,258.9
9.0,5.0,100.04
1.0,5.0,67.57
9.0,5.0,82.69999999999999
5.0,5.0,69.41
5.0,5.0,128.85
18.0,5.0,706.1899999999999
4.0,5.0,65.1
21.0,5.0,66.50999999999999
21.0,5.0,66.50999999999999
3.0,4.0,58.62
8.0,4.0,310.47
8.0,4.0,88.78
9.0,4.0,51.42
19.0,5.0,415.93
35.0,1.0,218.45
14.0,5.0,74.28
11.0,1.0,40.23
5.0,5.0,46.849999999999994
9.0,5.0,67.44
9.0,5.0,33.75
6.0,5.0,55.129999999999995
12.0,5.0,319.11
20.0,4.0,57.0
39.0,5.0,128.86
17.0,5.0,66.74000000000001
6.0,5.0,77.75
3.0,4.0,21.04
5.0,5.0,87.13000000000001
14.0,5.0,80.2
12.0,5.0,319.88
8.0,5.0,31.75
6.0,3.0,61.27
4.0,5.0,148.23
8.0,2.0,102.03
9.0,5.0,117.85
9.0,5.0,117.85
12.0,4.0,145.66
7.0,4.0,117.2
23.0,4.0,594.55
24.0,5.0,39.85
7.0,5.0,103.14
5.0,5.0,67.92
11.0,5.0,137.85
27.0,5.0,76.75999999999999
12.0,4.0,95.58
33.0,1.0,61.11
5.0,5.0,63.73
18.0,5.0,83.61
4.0,5.0,69.08
4.0,5.0,142.86
3.0,4.0,37.77
3.0,4.0,37.77
3.0,4.0,37.77
14.0,1.0,161.24
3.0,5.0,37.68
18.0,5.0,53.22
12.0,4.0,80.51
4.0,3.0,27.76
4.0,3.0,27.76
7.0,5.0,187.87
10.0,5.0,18.62
9.0,1.0,400.9
9.0,1.0,54.48
36.0,5.0,85.24
6.0,4.0,96.43
3.0,5.0,26.68
13.0,4.0,86.02000000000001
2.0,5.0,81.61
3.0,5.0,35.78
15.0,5.0,40.6
6.0,5.0,73.72
12.0,1.0,201.47
18.0,5.0,44.97
1.0,5.0,27.38
19.0,5.0,87.76
15.0,5.0,116.94
9.0,2.0,100.57
9.0,2.0,100.57
12.0,2.0,164.41
12.0,2.0,164.41
5.0,5.0,78.42
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
3.0,3.0,19.26
5.0,5.0,140.03
7.0,5.0,57.2
2.0,5.0,128.09
13.0,3.0,77.51
12.0,4.0,160.3
15.0,2.0,50.0
15.0,2.0,50.0
34.0,5.0,145.01
10.0,5.0,224.94
11.0,5.0,512.9
17.0,4.0,58.14
8.0,3.0,154.76
9.0,3.0,14.72
